"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"34" 0 0 1 1 1 1 0 0 0 1 0 0 0 0 1 0 0 1 1 1
"35" 0 1 0 0 1 0 0 1 1 1 1 1 0 1 1 0 1 1 0 0
"36" 0 1 1 0 1 1 0 0 1 0 1 0 1 1 1 1 0 0 0 0
"37" 0 0 1 0 0 1 1 0 1 0 0 0 1 1 1 1 1 0 1 1
"38" 1 0 1 0 0 1 0 1 1 1 1 0 1 0 1 1 0 1 0 1
"39" 0 1 1 1 0 1 1 0 1 0 0 1 1 0 0 0 0 0 0 1
"40" 0 1 1 0 0 1 1 0 0 1 0 0 1 0 1 1 1 1 1 1
"41" 0 0 0 1 0 0 1 0 1 1 0 0 1 1 0 0 1 1 0 1
"42" 0 0 0 0 1 1 1 1 1 0 1 0 1 1 1 1 1 0 0 1
"43" 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0
"44" 1 0 0 1 0 0 0 1 1 0 0 0 1 1 1 0 1 1 1 1
"45" 0 0 1 1 1 0 0 1 0 1 1 0 1 1 0 1 0 0 0 0
"46" 0 1 0 0 1 1 0 1 1 0 0 0 1 1 1 1 1 1 1 1
"47" 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0
"48" 1 0 0 0 1 0 1 0 1 0 1 1 0 0 0 1 0 1 1 1
"49" 0 0 0 1 0 0 0 0 1 1 1 1 1 1 1 1 1 0 0 0
"50" 0 1 0 1 0 0 1 0 1 0 0 1 1 0 1 1 0 1 1 1
"51" 1 1 1 1 1 0 1 1 1 1 0 1 0 0 0 1 1 1 0 0
"52" 1 1 1 1 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 1
"53" 1 0 1 0 1 0 1 1 0 0 1 1 0 1 1 1 0 0 1 1
"54" 1 1 1 0 1 0 1 1 1 0 0 1 1 1 0 0 1 0 1 1
"55" 1 1 1 1 1 1 1 0 0 0 1 0 1 1 0 1 1 1 1 1
"56" 1 0 1 0 0 1 0 1 1 0 1 0 1 0 1 0 0 0 1 0
"57" 1 1 0 0 1 1 1 1 0 0 1 1 1 1 1 0 0 0 1 1
"58" 1 1 1 0 0 0 0 1 0 0 1 1 1 1 1 1 0 0 1 0
"59" 1 1 1 0 0 0 1 0 1 1 0 1 1 1 0 1 0 0 0 0
"60" 0 1 1 0 0 1 0 0 1 0 1 0 0 1 1 1 1 0 0 0
"61" 1 1 0 1 1 1 0 0 0 1 0 1 0 1 0 1 1 1 0 0
"62" 1 0 1 0 1 0 1 0 1 0 1 0 1 1 0 1 0 1 1 0
"63" 1 1 1 1 0 0 0 1 1 1 1 0 1 0 1 0 1 0 0 0
"64" 1 0 0 0 0 0 1 1 1 0 0 1 1 0 0 0 1 0 0 1
"65" 1 0 1 0 0 1 1 1 1 0 0 0 0 0 1 1 1 0 0 0
"66" 0 0 0 1 1 1 1 0 0 1 0 0 1 1 1 1 1 1 0 0
"67" 1 1 1 0 1 1 1 0 1 1 0 1 0 1 0 0 1 0 1 0
"68" 1 0 1 1 1 1 0 1 1 0 0 1 0 0 1 0 0 0 1 0
"69" 0 1 1 0 0 0 0 1 1 1 0 1 1 0 1 1 0 0 1 0
"70" 1 0 0 1 0 1 0 1 0 0 1 1 0 1 0 0 1 0 0 1
"71" 1 0 1 1 0 1 0 1 0 0 1 1 0 0 1 1 0 0 0 1
"72" 1 1 1 1 1 1 0 0 1 1 1 1 0 0 0 1 1 1 0 0
"73" 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 1
"74" 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1 0 0 1 1 0
"75" 1 1 1 0 0 0 1 0 0 0 1 0 1 1 1 0 0 0 0 0
"76" 1 1 1 0 1 1 1 1 1 0 1 0 1 1 0 0 1 1 1 0
"77" 1 1 1 0 0 1 1 1 0 0 0 1 1 1 1 1 1 1 1 0
"78" 1 1 0 0 1 1 0 1 0 1 0 1 1 1 1 0 0 0 1 1
"79" 1 1 1 1 1 1 0 0 0 1 1 1 1 0 0 0 0 0 0 1
"80" 0 0 1 0 0 0 1 1 1 0 1 0 1 0 0 1 0 0 1 0
"81" 0 1 1 0 1 1 0 1 1 1 1 1 1 1 0 1 0 0 0 0
"82" 1 1 0 0 1 1 1 1 1 1 1 0 0 1 1 0 1 0 1 0
"83" 1 0 0 0 1 0 0 0 1 0 1 1 1 0 1 1 0 1 0 0
"84" 1 1 1 0 1 1 0 0 1 1 0 0 0 0 0 1 0 1 0 0
"85" 1 1 1 1 1 1 0 1 1 0 0 0 0 0 1 0 0 0 0 0
"86" 1 1 1 1 1 1 1 1 1 0 1 0 1 0 0 0 0 0 0 0
"87" 1 0 1 1 1 0 1 0 1 1 0 1 0 0 1 1 0 0 1 1
"88" 1 1 1 1 0 1 0 1 1 0 1 1 0 0 0 0 1 1 0 0
"89" 1 1 1 1 1 1 0 0 0 0 1 0 0 1 1 0 0 1 0 0
"90" 1 1 0 0 1 1 1 1 0 1 1 1 0 1 1 0 0 0 1 1
"91" 1 0 1 1 0 1 0 1 1 1 1 0 1 0 0 0 0 1 0 0
"92" 1 1 0 1 1 1 1 0 0 0 0 0 1 0 0 0 1 0 1 0
"93" 1 0 1 1 1 0 1 0 0 0 0 1 0 0 1 1 1 1 0 1
"94" 1 0 1 1 1 0 0 1 1 0 0 1 1 1 0 0 1 1 0 0
"95" 1 1 0 1 0 1 1 1 1 1 0 0 1 1 1 0 1 1 0 0
"96" 1 1 1 1 0 0 0 0 1 1 0 1 1 0 0 1 1 0 1 0
"97" 0 0 1 0 1 1 1 0 1 1 0 1 0 0 1 1 0 1 0 0
"98" 0 1 1 1 0 1 0 1 1 0 1 1 1 1 0 1 1 1 0 0
"99" 0 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 0 0 0 0
"100" 0 0 0 0 1 0 0 1 1 0 1 0 1 0 1 1 0 0 0 1
